"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"EQQH0060";"11";".";"2.72727272727272"
"01";"EQQM0010";"37";".";"22.7"
"01";"EQQM0030";"72";".";"26.9565217391304"
"01";"EQQM0060";"3291";"608";"5.40739528795811"
"01";"EQQP0030";"356";"304";"0.78571428571428"
"01";"EQQP0040";"221";".";"35.3461538461538"
"01";"EQQP0080";"88";".";"12.725"
"01";"EQQP0110";"4408";"28";"22.0720906282183"
"01";"EQQP0120";"17";".";"81.3333333333333"
"01";"EZAF0010";"319";"270";"0.53291536050156"
"01";"EZBA0030";"13";".";"1.53846153846153"
"01";"EZCA0030";"48";".";"3.89583333333333"
"01";"EZCA0040";"25";".";"3.6"
"01";"EZMA0010";"393";".";"3.16883116883116"
"01";"EZMA0030";"122";".";"3.35245901639344"
"01";"EZPA0010";"224";"70";"2.10313901345291"
"01";"EZPF0040";"45";".";"2.6"
"01";"EZQJ9000";"39";".";"11.7368421052631"
"01";"EZQM0010";"1433";"1385";"7.29050279329609"
"01";"EZQM0020";"13";"13";"0"
"01";"EZSA0020";"21";".";"3.9047619047619"
"01";"EZSA0030";"141";"30";"2.69629629629629"
"01";"FAFA0020";"64";"56";"0.1875"
"01";"FAFA0060";"31";".";"0.90322580645161"
"01";"FAFA0080";"386";"335";"0.24739583333333"
"01";"FAFA0130";"99";"96";"0.04040404040404"
"01";"FAFA0140";"283";".";"2.17375886524822"
"01";"FAFA0150";"328";"89";"1.21230769230769"
"01";"FASD0010";"18";".";"2.26666666666666"
"01";"FCFA0060";"49";".";"10.8125"
"01";"FCFA0080";"12";".";"11.8333333333333"
"01";"FCFA0120";"73";"17";"7.84722222222222"
"01";"FCFA0170";"11";".";"17.3636363636363"
"01";"FCFA0180";"12";".";"7.25"
"01";"FCFA0190";"58";".";"8.72413793103448"
"01";"FCFA0210";"109";".";"6.39423076923077"
"01";"FCFA0220";"13";".";"12.6153846153846"
"01";"FCFA0280";"18";".";"11.0555555555555"
